d,sales,date,wm_yr_wk,weekday,wday,month,year,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI,lag_7,lag_28,rolling_mean_7,rolling_mean_28,day_of_week,week,is_event
d_519,40594,2012-06-30,11223,Saturday,1,6,2012,,,,,0,0,0,40010.0,44943.0,33797.71428571428,36267.357142857145,5,26,0
d_520,40699,2012-07-01,11223,Sunday,2,7,2012,,,,,1,1,0,40509.0,43910.0,33881.142857142855,36112.03571428572,6,26,0
d_521,35863,2012-07-02,11223,Monday,3,7,2012,,,,,1,0,1,31847.0,33294.0,33908.28571428572,35997.357142857145,0,27,0
d_522,39542,2012-07-03,11223,Tuesday,4,7,2012,,,,,1,1,1,29371.0,34006.0,34482.0,36089.107142857145,1,27,0
d_523,32656,2012-07-04,11223,Wednesday,5,7,2012,IndependenceDay,National,,,1,0,0,28885.0,33587.0,35935.0,36286.82142857143,2,27,1
d_524,34408,2012-07-05,11223,Thursday,6,7,2012,,,,,1,1,1,29585.0,32535.0,36473.71428571428,36253.57142857143,3,27,0
d_525,39991,2012-07-06,11223,Friday,7,7,2012,,,,,1,1,1,36377.0,36901.0,37162.71428571428,36320.46428571428,4,27,0
d_526,41431,2012-07-07,11224,Saturday,1,7,2012,,,,,1,1,0,40594.0,43309.0,37679.0,36430.82142857143,5,27,0
d_527,42672,2012-07-08,11224,Sunday,2,7,2012,,,,,1,0,1,40699.0,44944.0,37798.57142857143,36363.75,6,27,0
d_528,35770,2012-07-09,11224,Monday,3,7,2012,,,,,1,1,1,35863.0,39636.0,38080.42857142857,36282.607142857145,0,28,0
d_529,32587,2012-07-10,11224,Tuesday,4,7,2012,,,,,1,0,0,39542.0,35074.0,38067.142857142855,36144.53571428572,1,28,0
d_530,33072,2012-07-11,11224,Wednesday,5,7,2012,,,,,0,1,1,32656.0,32930.0,37073.57142857143,36055.71428571428,2,28,0
d_531,33077,2012-07-12,11224,Thursday,6,7,2012,,,,,0,1,1,34408.0,33782.0,37133.0,36060.78571428572,3,28,0
d_532,36582,2012-07-13,11224,Friday,7,7,2012,,,,,0,1,0,39991.0,41798.0,36942.857142857145,36035.607142857145,4,28,0
d_533,42348,2012-07-14,11225,Saturday,1,7,2012,,,,,0,0,1,41431.0,44438.0,36455.857142857145,35849.32142857143,5,28,0
d_534,43689,2012-07-15,11225,Sunday,2,7,2012,,,,,0,1,1,42672.0,39039.0,36586.857142857145,35774.67857142857,6,28,0
d_535,33020,2012-07-16,11225,Monday,3,7,2012,,,,,0,0,0,35770.0,34100.0,36732.142857142855,35940.75,0,29,0
d_536,30418,2012-07-17,11225,Tuesday,4,7,2012,,,,,0,0,0,32587.0,31967.0,36339.28571428572,35902.17857142857,1,29,0
d_537,28916,2012-07-18,11225,Wednesday,5,7,2012,,,,,0,0,0,33072.0,31468.0,36029.42857142857,35846.857142857145,2,29,0
d_538,30864,2012-07-19,11225,Thursday,6,7,2012,,,,,0,0,0,33077.0,30764.0,35435.71428571428,35755.71428571428,3,29,0
d_539,35402,2012-07-20,11225,Friday,7,7,2012,Ramadan starts,Religious,,,0,0,0,36582.0,36477.0,35119.57142857143,35759.28571428572,4,29,1
d_540,39544,2012-07-21,11226,Saturday,1,7,2012,,,,,0,0,0,42348.0,40010.0,34951.0,35720.892857142855,5,29,0
d_541,39952,2012-07-22,11226,Sunday,2,7,2012,,,,,0,0,0,43689.0,40509.0,34550.42857142857,35704.25,6,29,0
d_542,30864,2012-07-23,11226,Monday,3,7,2012,,,,,0,0,0,33020.0,31847.0,34016.57142857143,35684.357142857145,0,30,0
d_543,29479,2012-07-24,11226,Tuesday,4,7,2012,,,,,0,0,0,30418.0,29371.0,33708.57142857143,35649.25,1,30,0
d_544,28354,2012-07-25,11226,Wednesday,5,7,2012,,,,,0,0,0,28916.0,28885.0,33574.42857142857,35653.107142857145,2,30,0
d_545,28538,2012-07-26,11226,Thursday,6,7,2012,,,,,0,0,0,30864.0,29585.0,33494.142857142855,35634.142857142855,3,30,0
d_546,31840,2012-07-27,11226,Friday,7,7,2012,,,,,0,0,0,35402.0,36377.0,33161.857142857145,35596.75,4,30,0
d_547,34588,2012-07-28,11227,Saturday,1,7,2012,,,,,0,0,0,39544.0,40594.0,32653.0,35434.71428571428,5,30,0
d_548,36147,2012-07-29,11227,Sunday,2,7,2012,,,,,0,0,0,39952.0,40699.0,31945.0,35220.21428571428,6,30,0
d_549,28933,2012-07-30,11227,Monday,3,7,2012,,,,,0,0,0,30864.0,35863.0,31401.428571428572,35057.642857142855,0,31,0
d_550,29531,2012-07-31,11227,Tuesday,4,7,2012,,,,,0,0,0,29479.0,39542.0,31125.571428571428,34810.142857142855,1,31,0
d_551,33970,2012-08-01,11227,Wednesday,5,8,2012,,,,,1,1,0,28354.0,32656.0,31133.0,34452.607142857145,2,31,0
d_552,35260,2012-08-02,11227,Thursday,6,8,2012,,,,,1,0,1,28538.0,34408.0,31935.285714285714,34499.53571428572,3,31,0
d_553,39511,2012-08-03,11227,Friday,7,8,2012,,,,,1,1,1,31840.0,39991.0,32895.57142857143,34529.96428571428,4,31,0
d_554,41276,2012-08-04,11228,Saturday,1,8,2012,,,,,1,0,0,34588.0,41431.0,33991.42857142857,34512.82142857143,5,31,0
d_555,43009,2012-08-05,11228,Sunday,2,8,2012,,,,,1,1,1,36147.0,42672.0,34946.857142857145,34507.28571428572,6,31,0
d_556,37024,2012-08-06,11228,Monday,3,8,2012,,,,,1,1,1,28933.0,35770.0,35927.142857142855,34519.32142857143,0,32,0
d_557,32394,2012-08-07,11228,Tuesday,4,8,2012,,,,,1,1,0,29531.0,32587.0,37083.0,34564.107142857145,1,32,0
d_558,32301,2012-08-08,11228,Wednesday,5,8,2012,,,,,1,0,1,33970.0,33072.0,37492.0,34557.21428571428,2,32,0
d_559,35008,2012-08-09,11228,Thursday,6,8,2012,,,,,1,1,1,35260.0,33077.0,37253.57142857143,34529.67857142857,3,32,0
d_560,36465,2012-08-10,11228,Friday,7,8,2012,,,,,1,0,0,39511.0,36582.0,37217.57142857143,34598.642857142855,4,32,0
d_561,44081,2012-08-11,11229,Saturday,1,8,2012,,,,,0,1,1,41276.0,42348.0,36782.42857142857,34594.46428571428,5,32,0
d_562,45798,2012-08-12,11229,Sunday,2,8,2012,,,,,0,1,1,43009.0,43689.0,37183.142857142855,34656.357142857145,6,32,0
d_563,36030,2012-08-13,11229,Monday,3,8,2012,,,,,0,1,0,37024.0,33020.0,37581.57142857143,34731.67857142857,0,33,0
d_564,34312,2012-08-14,11229,Tuesday,4,8,2012,,,,,0,0,1,32394.0,30418.0,37439.57142857143,34839.17857142857,1,33,0
d_565,35497,2012-08-15,11229,Wednesday,5,8,2012,,,,,0,1,1,32301.0,28916.0,37713.57142857143,34978.25,2,33,0
d_566,34405,2012-08-16,11229,Thursday,6,8,2012,,,,,0,0,0,35008.0,30864.0,38170.142857142855,35213.28571428572,3,33,0
d_567,35457,2012-08-17,11229,Friday,7,8,2012,,,,,0,0,0,36465.0,35402.0,38084.0,35339.75,4,33,0
d_568,41521,2012-08-18,11230,Saturday,1,8,2012,,,,,0,0,0,44081.0,39544.0,37940.0,35341.71428571428,5,33,0
d_569,43364,2012-08-19,11230,Sunday,2,8,2012,Eid al-Fitr,Religious,,,0,0,0,45798.0,39952.0,37574.28571428572,35412.32142857143,6,33,1
d_570,32410,2012-08-20,11230,Monday,3,8,2012,,,,,0,0,0,36030.0,30864.0,37226.57142857143,35534.17857142857,0,34,0
d_571,30206,2012-08-21,11230,Tuesday,4,8,2012,,,,,0,0,0,34312.0,29479.0,36709.42857142857,35589.392857142855,1,34,0
d_572,28922,2012-08-22,11230,Wednesday,5,8,2012,,,,,0,0,0,35497.0,28354.0,36122.857142857145,35615.357142857145,2,34,0
d_573,28552,2012-08-23,11230,Thursday,6,8,2012,,,,,0,0,0,34405.0,28538.0,35183.57142857143,35635.642857142855,3,34,0
d_574,33044,2012-08-24,11230,Friday,7,8,2012,,,,,0,0,0,35457.0,31840.0,34347.42857142857,35636.142857142855,4,34,0
d_575,39964,2012-08-25,11231,Saturday,1,8,2012,,,,,0,0,0,41521.0,34588.0,34002.71428571428,35679.142857142855,5,34,0
d_576,41021,2012-08-26,11231,Sunday,2,8,2012,,,,,0,0,0,43364.0,36147.0,33780.28571428572,35871.142857142855,6,34,0
d_577,31010,2012-08-27,11231,Monday,3,8,2012,,,,,0,0,0,32410.0,28933.0,33445.57142857143,36045.21428571428,0,35,0
d_578,28472,2012-08-28,11231,Tuesday,4,8,2012,,,,,0,0,0,30206.0,29531.0,33245.57142857143,36119.392857142855,1,35,0
d_579,27101,2012-08-29,11231,Wednesday,5,8,2012,,,,,0,0,0,28922.0,33970.0,32997.857142857145,36081.57142857143,2,35,0
d_580,28303,2012-08-30,11231,Thursday,6,8,2012,,,,,0,0,0,28552.0,35260.0,32737.714285714286,35836.25,3,35,0
d_581,37092,2012-08-31,11231,Friday,7,8,2012,,,,,0,0,0,33044.0,39511.0,32702.14285714286,35587.78571428572,4,35,0
d_582,44630,2012-09-01,11232,Saturday,1,9,2012,,,,,1,1,0,39964.0,41276.0,33280.42857142857,35501.392857142855,5,35,0
d_583,42819,2012-09-02,11232,Sunday,2,9,2012,,,,,1,0,1,41021.0,43009.0,33947.0,35621.17857142857,6,35,0
d_584,44525,2012-09-03,11232,Monday,3,9,2012,LaborDay,National,,,1,1,1,31010.0,37024.0,34203.857142857145,35614.392857142855,0,36,1
d_585,31879,2012-09-04,11232,Tuesday,4,9,2012,,,,,1,0,0,28472.0,32394.0,36134.57142857143,35882.28571428572,1,36,0
d_586,31854,2012-09-05,11232,Wednesday,5,9,2012,,,,,1,1,1,27101.0,32301.0,36621.28571428572,35863.892857142855,2,36,0
d_587,32575,2012-09-06,11232,Thursday,6,9,2012,,,,,1,1,1,28303.0,35008.0,37300.28571428572,35847.92857142857,3,36,0
d_588,34775,2012-09-07,11232,Friday,7,9,2012,,,,,1,1,0,37092.0,36465.0,37910.57142857143,35761.03571428572,4,36,0
d_589,43218,2012-09-08,11233,Saturday,1,9,2012,,,,,1,0,1,44630.0,44081.0,37579.57142857143,35700.67857142857,5,36,0
d_590,46649,2012-09-09,11233,Sunday,2,9,2012,,,,,1,1,1,42819.0,45798.0,37377.857142857145,35669.857142857145,6,36,0
d_591,32972,2012-09-10,11233,Monday,3,9,2012,,,,,1,0,0,44525.0,36030.0,37925.0,35700.25,0,37,0
d_592,32370,2012-09-11,11233,Tuesday,4,9,2012,,,,,0,1,1,31879.0,34312.0,36274.57142857143,35591.03571428572,1,37,0
d_593,31018,2012-09-12,11233,Wednesday,5,9,2012,,,,,0,1,1,31854.0,35497.0,36344.71428571428,35521.67857142857,2,37,0
d_594,30142,2012-09-13,11233,Thursday,6,9,2012,,,,,0,1,0,32575.0,34405.0,36225.28571428572,35361.71428571428,3,37,0
d_595,36359,2012-09-14,11233,Friday,7,9,2012,,,,,0,0,1,34775.0,35457.0,35877.71428571428,35209.46428571428,4,37,0
d_596,45959,2012-09-15,11234,Saturday,1,9,2012,,,,,0,1,1,43218.0,41521.0,36104.0,35241.67857142857,5,37,0
d_597,44286,2012-09-16,11234,Sunday,2,9,2012,,,,,0,0,0,46649.0,43364.0,36495.57142857143,35400.17857142857,6,37,0
d_598,31860,2012-09-17,11234,Monday,3,9,2012,,,,,0,0,0,32972.0,32410.0,36158.0,35433.107142857145,0,38,0
d_599,29276,2012-09-18,11234,Tuesday,4,9,2012,,,,,0,0,0,32370.0,30206.0,35999.142857142855,35413.46428571428,1,38,0
d_600,27065,2012-09-19,11234,Wednesday,5,9,2012,,,,,0,0,0,31018.0,28922.0,35557.142857142855,35380.25,2,38,0
d_601,28557,2012-09-20,11234,Thursday,6,9,2012,,,,,0,0,0,30142.0,28552.0,34992.42857142857,35313.92857142857,3,38,0
d_602,33634,2012-09-21,11234,Friday,7,9,2012,,,,,0,0,0,36359.0,33044.0,34766.0,35314.107142857145,4,38,0
d_603,41889,2012-09-22,11235,Saturday,1,9,2012,,,,,0,0,0,45959.0,39964.0,34376.71428571428,35335.17857142857,5,38,0
d_604,41362,2012-09-23,11235,Sunday,2,9,2012,,,,,0,0,0,44286.0,41021.0,33795.28571428572,35403.92857142857,6,38,0
d_605,29176,2012-09-24,11235,Monday,3,9,2012,,,,,0,0,0,31860.0,31010.0,33377.57142857143,35416.107142857145,0,39,0
d_606,27979,2012-09-25,11235,Tuesday,4,9,2012,,,,,0,0,0,29276.0,28472.0,32994.142857142855,35350.607142857145,1,39,0
d_607,26932,2012-09-26,11235,Wednesday,5,9,2012,,,,,0,0,0,27065.0,27101.0,32808.857142857145,35333.0,2,39,0
d_608,27231,2012-09-27,11235,Thursday,6,9,2012,,,,,0,0,0,28557.0,28303.0,32789.857142857145,35326.96428571428,3,39,0
d_609,32656,2012-09-28,11235,Friday,7,9,2012,,,,,0,0,0,33634.0,37092.0,32600.428571428572,35288.67857142857,4,39,0
d_610,40981,2012-09-29,11236,Saturday,1,9,2012,,,,,0,0,0,41889.0,44630.0,32460.714285714286,35130.25,5,39,0
d_611,39736,2012-09-30,11236,Sunday,2,9,2012,,,,,0,0,0,41362.0,42819.0,32331.0,34999.92857142857,6,39,0
d_612,34841,2012-10-01,11236,Monday,3,10,2012,,,,,1,1,0,29176.0,44525.0,32098.714285714286,34889.82142857143,0,40,0
d_613,33830,2012-10-02,11236,Tuesday,4,10,2012,,,,,1,0,1,27979.0,31879.0,32908.0,34543.96428571428,1,40,0
d_614,34220,2012-10-03,11236,Wednesday,5,10,2012,,,,,1,1,1,26932.0,31854.0,33743.857142857145,34613.642857142855,2,40,0
d_615,30075,2012-10-04,11236,Thursday,6,10,2012,,,,,1,0,0,27231.0,32575.0,34785.0,34698.142857142855,3,40,0
d_616,34588,2012-10-05,11236,Friday,7,10,2012,,,,,1,1,1,32656.0,34775.0,35191.28571428572,34608.857142857145,4,40,0
d_617,44040,2012-10-06,11237,Saturday,1,10,2012,,,,,1,1,1,40981.0,43218.0,35467.28571428572,34602.17857142857,5,40,0
d_618,41872,2012-10-07,11237,Sunday,2,10,2012,,,,,1,1,0,39736.0,46649.0,35904.28571428572,34631.53571428572,6,40,0
d_619,33790,2012-10-08,11237,Monday,3,10,2012,ColumbusDay,National,,,1,0,1,34841.0,32972.0,36209.42857142857,34460.92857142857,0,41,1
d_620,32295,2012-10-09,11237,Tuesday,4,10,2012,,,,,1,1,1,33830.0,32370.0,36059.28571428572,34490.142857142855,1,41,0
d_621,29969,2012-10-10,11237,Wednesday,5,10,2012,,,,,1,0,0,34220.0,31018.0,35840.0,34487.46428571428,2,41,0
d_622,29998,2012-10-11,11237,Thursday,6,10,2012,,,,,0,1,1,30075.0,30142.0,35232.71428571428,34450.0,3,41,0
d_623,35052,2012-10-12,11237,Friday,7,10,2012,,,,,0,1,1,34588.0,36359.0,35221.71428571428,34444.857142857145,4,41,0
d_624,42226,2012-10-13,11238,Saturday,1,10,2012,,,,,0,1,0,44040.0,45959.0,35288.0,34398.17857142857,5,41,0
d_625,42237,2012-10-14,11238,Sunday,2,10,2012,,,,,0,0,1,41872.0,44286.0,35028.857142857145,34264.857142857145,6,41,0
d_626,33684,2012-10-15,11238,Monday,3,10,2012,,,,,0,1,1,33790.0,31860.0,35081.0,34191.67857142857,0,42,0
d_627,27869,2012-10-16,11238,Tuesday,4,10,2012,,,,,0,0,0,32295.0,29276.0,35065.857142857145,34256.82142857143,1,42,0
d_628,27103,2012-10-17,11238,Wednesday,5,10,2012,,,,,0,0,0,29969.0,27065.0,34433.57142857143,34206.57142857143,2,42,0
d_629,26169,2012-10-18,11238,Thursday,6,10,2012,,,,,0,0,0,29998.0,28557.0,34024.142857142855,34207.92857142857,3,42,0
d_630,29711,2012-10-19,11238,Friday,7,10,2012,,,,,0,0,0,35052.0,33634.0,33477.142857142855,34122.642857142855,4,42,0
d_631,36689,2012-10-20,11239,Saturday,1,10,2012,,,,,0,0,0,42226.0,41889.0,32714.14285714286,33982.53571428572,5,42,0
d_632,36987,2012-10-21,11239,Sunday,2,10,2012,,,,,0,0,0,42237.0,41362.0,31923.14285714286,33796.82142857143,6,42,0
d_633,26712,2012-10-22,11239,Monday,3,10,2012,,,,,0,0,0,33684.0,29176.0,31173.14285714286,33640.57142857143,0,43,0
d_634,25419,2012-10-23,11239,Tuesday,4,10,2012,,,,,0,0,0,27869.0,27979.0,30177.14285714286,33552.57142857143,1,43,0
d_635,24390,2012-10-24,11239,Wednesday,5,10,2012,,,,,0,0,0,27103.0,26932.0,29827.14285714286,33461.142857142855,2,43,0
d_636,24312,2012-10-25,11239,Thursday,6,10,2012,,,,,0,0,0,26169.0,27231.0,29439.571428571428,33370.357142857145,3,43,0
d_637,31863,2012-10-26,11239,Friday,7,10,2012,EidAlAdha,Religious,,,0,0,0,29711.0,32656.0,29174.285714285714,33266.107142857145,4,43,1
d_638,38547,2012-10-27,11240,Saturday,1,10,2012,,,,,0,0,0,36689.0,40981.0,29481.714285714286,33237.78571428572,5,43,0
d_639,37184,2012-10-28,11240,Sunday,2,10,2012,,,,,0,0,0,36987.0,39736.0,29747.14285714286,33150.857142857145,6,43,0
d_640,27581,2012-10-29,11240,Monday,3,10,2012,,,,,0,0,0,26712.0,34841.0,29775.285714285714,33059.71428571428,0,44,0
d_641,28080,2012-10-30,11240,Tuesday,4,10,2012,,,,,0,0,0,25419.0,33830.0,29899.428571428572,32800.42857142857,1,44,0
d_642,24975,2012-10-31,11240,Wednesday,5,10,2012,Halloween,Cultural,,,0,0,0,24390.0,34220.0,30279.571428571428,32595.071428571428,2,44,1
d_643,31051,2012-11-01,11240,Thursday,6,11,2012,,,,,1,1,0,24312.0,30075.0,30363.14285714286,32264.89285714286,3,44,0
d_644,35514,2012-11-02,11240,Friday,7,11,2012,,,,,1,0,1,31863.0,34588.0,31325.85714285714,32299.75,4,44,0
d_645,45079,2012-11-03,11241,Saturday,1,11,2012,,,,,1,1,1,38547.0,44040.0,31847.428571428572,32332.821428571428,5,44,0
d_646,42545,2012-11-04,11241,Sunday,2,11,2012,,,,,1,0,0,37184.0,41872.0,32780.57142857143,32369.928571428572,6,44,0
d_647,33057,2012-11-05,11241,Monday,3,11,2012,,,,,1,1,1,27581.0,33790.0,33546.42857142857,32393.964285714286,0,45,0
d_648,30514,2012-11-06,11241,Tuesday,4,11,2012,,,,,1,1,1,28080.0,32295.0,34328.71428571428,32367.785714285714,1,45,0
d_649,29683,2012-11-07,11241,Wednesday,5,11,2012,,,,,1,1,0,24975.0,29969.0,34676.42857142857,32304.178571428572,2,45,0
d_650,30757,2012-11-08,11241,Thursday,6,11,2012,,,,,1,0,1,31051.0,29998.0,35349.0,32293.964285714286,3,45,0
d_651,35722,2012-11-09,11241,Friday,7,11,2012,,,,,1,1,1,35514.0,35052.0,35307.0,32321.071428571428,4,45,0
d_652,42884,2012-11-10,11242,Saturday,1,11,2012,,,,,1,0,0,45079.0,42226.0,35336.71428571428,32345.0,5,45,0
d_653,43517,2012-11-11,11242,Sunday,2,11,2012,VeteransDay,National,,,0,1,1,42545.0,42237.0,35023.142857142855,32368.5,6,45,1
d_654,33213,2012-11-12,11242,Monday,3,11,2012,,,,,0,1,1,33057.0,33684.0,35162.0,32414.214285714286,0,46,0
d_655,28308,2012-11-13,11242,Tuesday,4,11,2012,,,,,0,1,0,30514.0,27869.0,35184.28571428572,32397.39285714286,1,46,0
d_656,27835,2012-11-14,11242,Wednesday,5,11,2012,,,,,0,0,1,29683.0,27103.0,34869.142857142855,32413.071428571428,2,46,0
d_657,29713,2012-11-15,11242,Thursday,6,11,2012,,,,,0,1,1,30757.0,26169.0,34605.142857142855,32439.214285714286,3,46,0
d_658,31616,2012-11-16,11242,Friday,7,11,2012,,,,,0,0,0,35722.0,29711.0,34456.0,32565.785714285714,4,46,0
d_659,40441,2012-11-17,11243,Saturday,1,11,2012,,,,,0,0,0,42884.0,36689.0,33869.42857142857,32633.821428571428,5,46,0
d_660,37576,2012-11-18,11243,Sunday,2,11,2012,,,,,0,0,0,43517.0,36987.0,33520.42857142857,32767.821428571428,6,46,0
d_661,29330,2012-11-19,11243,Monday,3,11,2012,,,,,0,0,0,33213.0,26712.0,32671.714285714286,32788.857142857145,0,47,0
d_662,30274,2012-11-20,11243,Tuesday,4,11,2012,,,,,0,0,0,28308.0,25419.0,32117.0,32882.357142857145,1,47,0
d_663,35208,2012-11-21,11243,Wednesday,5,11,2012,,,,,0,0,0,27835.0,24390.0,32397.85714285714,33055.75,2,47,0
d_664,21909,2012-11-22,11243,Thursday,6,11,2012,Thanksgiving,National,,,0,0,0,29713.0,24312.0,33451.142857142855,33442.107142857145,3,47,1
d_665,23423,2012-11-23,11243,Friday,7,11,2012,,,,,0,0,0,31616.0,31863.0,32336.285714285714,33356.28571428572,4,47,0
d_666,30016,2012-11-24,11244,Saturday,1,11,2012,,,,,0,0,0,40441.0,38547.0,31165.85714285714,33054.857142857145,5,47,0
d_667,32732,2012-11-25,11244,Sunday,2,11,2012,,,,,0,0,0,37576.0,37184.0,29676.571428571428,32750.178571428572,6,47,0
d_668,26476,2012-11-26,11244,Monday,3,11,2012,,,,,0,0,0,29330.0,27581.0,28984.571428571428,32591.178571428572,0,48,0
d_669,24489,2012-11-27,11244,Tuesday,4,11,2012,,,,,0,0,0,30274.0,28080.0,28576.85714285714,32551.714285714286,1,48,0
d_670,23545,2012-11-28,11244,Wednesday,5,11,2012,,,,,0,0,0,35208.0,24975.0,27750.428571428572,32423.464285714286,2,48,0
d_671,23868,2012-11-29,11244,Thursday,6,11,2012,,,,,0,0,0,21909.0,31051.0,26084.285714285714,32372.39285714286,3,48,0
d_672,30389,2012-11-30,11244,Friday,7,11,2012,,,,,0,0,0,23423.0,35514.0,26364.14285714286,32115.85714285714,4,48,0
d_673,42496,2012-12-01,11245,Saturday,1,12,2012,,,,,1,1,0,30016.0,45079.0,27359.285714285714,31932.821428571428,5,48,0
d_674,40940,2012-12-02,11245,Sunday,2,12,2012,,,,,1,0,1,32732.0,42545.0,29142.14285714286,31840.571428571428,6,48,0
d_675,35337,2012-12-03,11245,Monday,3,12,2012,,,,,1,1,1,26476.0,33057.0,30314.714285714286,31783.25,0,49,0
d_676,28819,2012-12-04,11245,Tuesday,4,12,2012,,,,,1,0,0,24489.0,30514.0,31580.571428571428,31864.678571428572,1,49,0
d_677,31184,2012-12-05,11245,Wednesday,5,12,2012,,,,,1,1,1,23545.0,29683.0,32199.14285714286,31804.14285714286,2,49,0
d_678,31124,2012-12-06,11245,Thursday,6,12,2012,,,,,1,1,1,23868.0,30757.0,33290.42857142857,31857.75,3,49,0
d_679,33594,2012-12-07,11245,Friday,7,12,2012,,,,,1,1,0,30389.0,35722.0,34327.0,31870.85714285714,4,49,0
d_680,41573,2012-12-08,11246,Saturday,1,12,2012,,,,,1,0,1,42496.0,42884.0,34784.857142857145,31794.85714285714,5,49,0
d_681,42526,2012-12-09,11246,Sunday,2,12,2012,,,,,1,1,1,40940.0,43517.0,34653.0,31748.035714285714,6,49,0
d_682,31089,2012-12-10,11246,Monday,3,12,2012,,,,,1,0,0,35337.0,33213.0,34879.57142857143,31712.64285714286,0,50,0
d_683,30298,2012-12-11,11246,Tuesday,4,12,2012,,,,,0,1,1,28819.0,28308.0,34272.71428571428,31636.785714285714,1,50,0
d_684,30016,2012-12-12,11246,Wednesday,5,12,2012,,,,,0,1,1,31184.0,27835.0,34484.0,31707.85714285714,2,50,0
d_685,28671,2012-12-13,11246,Thursday,6,12,2012,,,,,0,1,0,31124.0,29713.0,34317.142857142855,31785.75,3,50,0
d_686,32902,2012-12-14,11246,Friday,7,12,2012,,,,,0,0,1,33594.0,31616.0,33966.71428571428,31748.535714285714,4,50,0
d_687,42390,2012-12-15,11247,Saturday,1,12,2012,,,,,0,1,1,41573.0,40441.0,33867.857142857145,31794.464285714286,5,50,0
d_688,40053,2012-12-16,11247,Sunday,2,12,2012,Chanukah End,Religious,,,0,0,0,42526.0,37576.0,33984.57142857143,31864.071428571428,6,50,1
d_689,31025,2012-12-17,11247,Monday,3,12,2012,,,,,0,0,0,31089.0,29330.0,33631.28571428572,31952.535714285714,0,51,0
d_690,30254,2012-12-18,11247,Tuesday,4,12,2012,,,,,0,0,0,30298.0,30274.0,33622.142857142855,32013.071428571428,1,51,0
d_691,31782,2012-12-19,11247,Wednesday,5,12,2012,,,,,0,0,0,30016.0,35208.0,33615.857142857145,32012.35714285714,2,51,0
d_692,30872,2012-12-20,11247,Thursday,6,12,2012,,,,,0,0,0,28671.0,21909.0,33868.142857142855,31890.0,3,51,0
d_693,32848,2012-12-21,11247,Friday,7,12,2012,,,,,0,0,0,32902.0,23423.0,34182.57142857143,32210.10714285714,4,51,0
d_694,40015,2012-12-22,11248,Saturday,1,12,2012,,,,,0,0,0,42390.0,30016.0,34174.857142857145,32546.714285714286,5,51,0
d_695,38987,2012-12-23,11248,Sunday,2,12,2012,,,,,0,0,0,40053.0,32732.0,33835.57142857143,32903.82142857143,6,51,0
d_696,32623,2012-12-24,11248,Monday,3,12,2012,,,,,0,0,0,31025.0,26476.0,33683.28571428572,33127.21428571428,0,52,0
d_697,11,2012-12-25,11248,Tuesday,4,12,2012,Christmas,National,,,0,0,0,30254.0,24489.0,33911.57142857143,33346.75,1,52,1
d_698,29701,2012-12-26,11248,Wednesday,5,12,2012,,,,,0,0,0,31782.0,23545.0,29591.14285714286,32472.535714285714,2,52,0
d_699,29086,2012-12-27,11248,Thursday,6,12,2012,,,,,0,0,0,30872.0,23868.0,29293.85714285714,32692.39285714286,3,52,0
d_700,32347,2012-12-28,11248,Friday,7,12,2012,,,,,0,0,0,32848.0,30389.0,29038.714285714286,32878.75,4,52,0
d_701,37154,2012-12-29,11249,Saturday,1,12,2012,,,,,0,0,0,40015.0,42496.0,28967.14285714286,32948.67857142857,5,52,0
d_702,35699,2012-12-30,11249,Sunday,2,12,2012,,,,,0,0,0,38987.0,40940.0,28558.428571428572,32757.89285714286,6,52,0
d_703,35036,2012-12-31,11249,Monday,3,12,2012,,,,,0,0,0,32623.0,35337.0,28088.714285714286,32570.714285714286,0,1,0
d_704,24087,2013-01-01,11249,Tuesday,4,1,2013,NewYear,National,,,1,1,0,11.0,28819.0,28433.428571428572,32559.964285714286,1,1,1
d_705,32184,2013-01-02,11249,Wednesday,5,1,2013,,,,,1,0,1,29701.0,31184.0,31872.85714285714,32390.964285714286,2,1,0
d_706,36241,2013-01-03,11249,Thursday,6,1,2013,,,,,1,1,1,29086.0,31124.0,32227.571428571428,32426.678571428572,3,1,0
d_707,33742,2013-01-04,11249,Friday,7,1,2013,,,,,1,0,0,32347.0,33594.0,33249.71428571428,32609.428571428572,4,1,0
d_708,43287,2013-01-05,11250,Saturday,1,1,2013,,,,,1,1,1,37154.0,41573.0,33449.0,32614.714285714286,5,1,0
d_709,43994,2013-01-06,11250,Sunday,2,1,2013,,,,,1,1,1,35699.0,42526.0,34325.142857142855,32675.928571428572,6,1,0
d_710,33517,2013-01-07,11250,Monday,3,1,2013,OrthodoxChristmas,Religious,,,1,1,0,35036.0,31089.0,35510.142857142855,32728.35714285714,0,2,1
d_711,31220,2013-01-08,11250,Tuesday,4,1,2013,,,,,1,0,1,24087.0,30298.0,35293.142857142855,32815.07142857143,1,2,0
d_712,29532,2013-01-09,11250,Wednesday,5,1,2013,,,,,1,1,1,32184.0,30016.0,36312.142857142855,32848.0,2,2,0
d_713,29793,2013-01-10,11250,Thursday,6,1,2013,,,,,1,0,0,36241.0,28671.0,35933.28571428572,32830.71428571428,3,2,0
d_714,34476,2013-01-11,11250,Friday,7,1,2013,,,,,0,1,1,33742.0,32902.0,35012.142857142855,32870.78571428572,4,2,0
